Name_Snippet,Formula,Density
ALUMINUM Al 99.95%,Al,2.70
ALUMINUM OXIDE Al 2 O 3 99.99%,Al2O3,3.96
BERYLLIUM Be 99.8%,Be,1.85
BORON B 99.8%,B,2.34
CARBON C 99.9%,C,2.0
CHROMIUM Cr 99.99%,Cr,7.19
COLBALT Co 99.99%,Co,8.92
COPPER Cu 99.99%,Cu,8.94
GERMANIUM Ge 99.99%,Ge,5.32
GOLD Au 99.99%,Au,19.32
HAFNIUM Hf 99.95% (+2-3% Zr),Hf,13.09
INDIUM In 99.99%,In,7.31
IRON Fe 99.95%,Fe,7.87
KAPTON,C22N2O4H12,1.42
LEAD Pb 99.99%,Pb,11.34
LITHIUM FLUORIDE LiF 99.8%,LiF,2.59
MAGNESIUM Mg 99.99%,Mg,1.74
MAGNESIUM FLUORIDE MgF 2 99.9%,MgF2,3.0
MOLYBDENUM Mo 99.99%,Mo,10.22
MYLAR(PET),C10H8O4,1.39
NICKEL Ni 99.99%,Ni,8.91
NIOBIUM Nb 99.99%,Nb,8.57
PARYLENE-N,C8H8,1.11
PALLADIUM Pd 99.99%,Pd,12.02
PLATINUM Pt 99.9%,Pt,21.45
POLYCARBONAT,C16H14O3,1.2
POLYPROPYLENE,C3H6,0.9
POLYSTYRENE,C8H8,1.06
RHODIUM Rh,Rh,12.41
SILICON Si 99.999%,Si,2.33
SILICON DIOXIDE SiO 2 99.9%,SiO2,2.3
SILICON NITRIDE Si 3 N 4 99.9%,Si3N4,3.44
SILVER Ag 99.99%,Ag,10.49
TANTALUM Ta 99.95%,Ta,16.6
TEFLON® Tf (-CF 2 CF 2- ),Tf,2.25
TIN Sn 99.99%,Sn,7.29
TITANIUM Ti 99.99%,Ti,4.50
TITANIUM OXIDE TiO 2 /TiO 99.9,TiO,4.3
TUNGSTEN W 99.95%,W,19.3
VANADIUM V 99.9%,V,6.11
ZINC Zn 99.9%,Zn,7.14
ZIRCONIUM Zr 99.95%,Zr,6.39
