Date,Shot,TimeLag_us
240611,110,5
240611,111,5
240611,113,5
240611,114,5
240611,115,4
240611,117,4
240611,118,4
240611,119,4
240611,120,4
240611,121,4
240611,122,5
240611,123,4
240611,124,4
240611,125,4
240611,126,4
240611,127,4
240611,128,4
240611,129,4
240611,130,4
240611,131,4
240611,132,3
240611,133,4
240611,134,4
240611,135,5
240611,136,5
240611,138,4
240611,139,5
240611,140,5
241110,19,-6
241110,22,-6
241110,24,-6
241110,25,-7
241110,26,-6
241110,27,-7
241110,28,-6
241110,29,-6
241110,30,-6
241110,31,0
241110,32,0
241110,33,0
241124,24,0
241124,25,0
241124,26,0
241124,28,0
241124,29,0
241124,30,0
241124,32,0
241124,33,0
241124,34,0
241124,35,0
241124,36,0
241124,38,0
241124,40,0
241124,41,0
241124,42,0
241124,43,0
241124,44,0
241124,45,0
241124,46,0
241124,47,0
241124,48,0
241124,49,0
241124,50,0
241124,51,0
241124,52,0
241124,53,0
241225,9,-1
241225,10,-1
241225,11,-1
241225,14,0
241225,15,0
241225,16,0
241225,17,0
241225,18,0
241225,19,0
241225,20,0
241225,21,0
241225,22,0
241225,23,0
241225,24,0
241225,25,0
241225,26,0
241225,27,0
241225,28,0
241225,29,0
241225,30,0
241225,31,0
241225,32,-1
241225,33,0
241225,34,-1
241225,36,-6
241225,37,-6
241225,38,-6
241225,39,-7
241225,40,-7
241225,41,-8
241225,42,-7
241225,47,2
241225,49,2
241225,50,1
241225,52,1
241225,53,1
241225,54,1
241225,55,0
241225,56,0
241225,57,0
241225,59,2
241225,60,2
241225,61,2
250205,2,-7
250205,5,-8
250205,6,-8
250205,7,-8
250205,9,-11
250205,15,-11
250205,16,-11
250205,23,-9
250205,24,-9
250205,25,-9
250205,26,-9
250205,27,-9
250205,28,-9
250205,29,-9
250205,30,-9
250205,31,-9
250205,33,-9
250205,34,-9
250205,35,-10
250205,36,-10
250205,37,-10
250205,38,-9
250205,40,-10
250205,41,-10
250205,42,-10
250205,43,-10
250205,44,-10
250205,45,-10
250206,6,0
250206,7,0
250206,8,0
250206,9,0
250206,10,0
250206,11,0
250206,12,0
250206,13,0
250206,14,0
250206,15,0
250206,16,0
250206,17,0
250206,18,0
250206,19,1
250206,20,0
250206,21,0
251220,5,0
251220,6,0
251220,8,0
251220,9,0
251220,10,-29
251220,12,0
251220,13,0
251220,14,0
251220,15,0
251220,16,0
251220,17,0
251220,18,0
251220,19,0
251220,20,0
251220,21,0
251220,22,0
251220,23,0
